C.Rep,Week,C.Light,C.Nutrients,Species,Individuals
1,7,L,M,Wc,42
2,7,L,M,Wc,81
2,7,L,L,Wc,10
1,9,H,L,Wc,12
1,9,H,H,Wc,57
2,9,H,L,Wc,15
2,9,H,H,Wc,42
1,9,H,M,Wc,29
2,9,H,M,Wc,18
1,9,M,H,Wc,42
1,9,M,L,Wc,9
1,9,M,M,Wc,8
2,9,M,H,Wc,21
2,9,M,L,Wc,8
2,9,M,M,Wc,3
1,9,L,L,Wc,32
1,9,L,H,Wc,403
2,9,L,H,Wc,232
1,9,L,M,Wc,109
2,9,L,M,Wc,158
2,9,L,L,Wc,24
1,11,H,L,Wc,5
1,11,H,H,Wc,61
2,11,H,L,Wc,13
2,11,H,H,Wc,69
1,11,H,M,Wc,14
2,11,H,M,Wc,10
1,11,M,H,Wc,21
1,11,M,L,Wc,6
1,11,M,M,Wc,5
2,11,M,H,Wc,19
2,11,M,L,Wc,7
2,11,M,M,Wc,4
1,11,L,L,Wc,14
1,11,L,H,Wc,293
2,11,L,H,Wc,310
1,11,L,M,Wc,102
2,11,L,M,Wc,111
2,11,L,L,Wc,52
1,14,H,L,Wc,16
1,14,H,H,Wc,71
2,14,H,L,Wc,33
2,14,H,H,Wc,77
1,14,H,M,Wc,18
2,14,H,M,Wc,13
1,14,M,H,Wc,24
1,14,M,L,Wc,7
1,14,M,M,Wc,5
2,14,M,H,Wc,21
2,14,M,L,Wc,8
2,14,M,M,Wc,4
1,14,L,L,Wc,16
1,14,L,H,Wc,334
2,14,L,H,Wc,326
1,14,L,M,Wc,107
2,14,L,M,Wc,113
2,14,L,L,Wc,58
