C.Type,E.Type,C.Env,E.Env,C.Rep,E.Rep,Species,Individual,FrondArea
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Derived,Modified,7,7,1,B,Wc,2,0.1895
Derived,Modified,2,2,2,A,Wc,3,0.1899
Ancestral,Modified,5,8,1,B,Wc,4,0.19
Ancestral,Modified,5,7,2,B,Wc,10,0.1905
Derived,Original,6,5,1,B,Wc,7,0.1907
Derived,Original,6,5,2,B,Wc,7,0.1907
Derived,Original,8,5,2,B,Wc,2,0.1909
Derived,Original,7,5,1,A,Wc,6,0.1911
Derived,Original,2,5,2,B,Wc,2,0.1912
Derived,Modified,3,3,1,A,Wc,1,0.1912
Derived,Original,7,5,2,B,Wc,4,0.1917
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Derived,Modified,2,2,2,B,Wc,2,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Ancestral,Original,5,5,1,A,Wc,1,0.1923
Derived,Modified,7,7,1,B,Wc,8,0.1927
Derived,Modified,2,2,2,A,Wc,4,0.1931
Derived,Original,3,5,2,A,Wc,8,0.1931
Derived,Original,3,5,2,B,Wc,8,0.1931
Derived,Original,9,5,1,B,Wc,1,0.1937
Ancestral,Modified,5,1,1,B,Wc,2,0.1943
Derived,Modified,7,7,1,B,Wc,4,0.1951
Derived,Original,7,5,2,B,Wc,6,0.1952
Derived,Modified,7,7,1,B,Wc,10,0.1956
Derived,Modified,7,7,1,B,Wc,3,0.1958
Derived,Modified,8,8,2,B,Wc,5,0.1965
Derived,Modified,6,6,1,A,Wc,9,0.1966
Derived,Modified,6,6,2,A,Wc,9,0.1966
Derived,Original,2,5,1,B,Wc,1,0.197
Derived,Original,9,5,2,A,Wc,4,0.1975
Derived,Original,2,5,1,A,Wc,2,0.1977
Derived,Original,6,5,1,B,Wc,2,0.1981
Derived,Modified,6,6,1,B,Wc,3,0.1981
Derived,Original,6,5,2,B,Wc,2,0.1981
Derived,Modified,6,6,2,B,Wc,4,0.1981
Derived,Original,2,5,1,B,Wc,3,0.1982
Derived,Modified,2,2,1,B,Wc,5,0.1982
Ancestral,Modified,5,7,2,A,Wc,10,0.1985
Derived,Original,9,5,1,B,Wc,4,0.1985
Derived,Modified,9,9,1,B,Wc,9,0.1986
Ancestral,Modified,5,2,1,B,Wc,2,0.1991
Derived,Original,8,5,1,B,Wc,7,0.1991
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Original,5,5,1,B,Wc,5,0.1993
Ancestral,Modified,5,2,1,B,Wc,3,0.2011
Derived,Modified,6,6,2,B,Wc,9,0.2016
Derived,Modified,2,2,2,A,Wc,1,0.2019
Derived,Original,2,5,2,B,Wc,1,0.2021
Derived,Modified,9,9,1,A,Wc,8,0.2024
Derived,Original,6,5,1,A,Wc,9,0.2026
Derived,Original,6,5,2,A,Wc,10,0.2026
Derived,Modified,6,6,1,B,Wc,6,0.2029
Derived,Original,8,5,2,A,Wc,9,0.2035
Derived,Modified,8,8,1,B,Wc,9,0.204
Derived,Original,7,5,2,B,Wc,5,0.2042
Derived,Original,7,5,1,B,Wc,10,0.205
Derived,Original,8,5,2,B,Wc,10,0.205
Derived,Modified,8,8,2,B,Wc,2,0.2054
Derived,Modified,7,7,2,A,Wc,7,0.2061
Ancestral,Modified,5,7,2,B,Wc,9,0.2065
Derived,Original,9,5,2,B,Wc,1,0.2073
Derived,Modified,2,2,2,B,Wc,3,0.2077
Derived,Original,8,5,1,B,Wc,1,0.2083
Derived,Modified,3,3,1,B,Wc,3,0.2091
Derived,Modified,3,3,2,B,Wc,4,0.2091
Derived,Modified,8,8,1,A,Wc,3,0.2091
Derived,Original,9,5,2,A,Wc,9,0.2093
Derived,Original,9,5,2,B,Wc,10,0.2097
Ancestral,Modified,5,2,1,B,Wc,4,0.2101
Derived,Original,7,5,1,A,Wc,10,0.2101
Derived,Original,9,5,1,B,Wc,7,0.2104
Derived,Modified,9,9,2,B,Wc,9,0.2112
Derived,Modified,7,7,1,A,Wc,6,0.2114
Derived,Original,9,5,2,B,Wc,6,0.2117
Derived,Modified,7,7,1,A,Wc,8,0.2124
Derived,Modified,6,6,1,A,Wc,6,0.2126
Derived,Modified,6,6,2,A,Wc,6,0.2126
Derived,Modified,7,7,1,A,Wc,5,0.2133
Derived,Original,7,5,2,B,Wc,1,0.2133
Derived,Modified,8,8,2,A,Wc,1,0.2137
Derived,Modified,8,8,1,B,Wc,3,0.2138
Ancestral,Modified,5,7,2,A,Wc,3,0.2144
Derived,Original,9,5,1,B,Wc,10,0.2159
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Ancestral,Original,5,5,2,A,Wc,5,0.2161
Derived,Modified,2,2,2,B,Wc,4,0.2173
Derived,Modified,6,6,2,B,Wc,3,0.2173
Derived,Original,8,5,1,A,Wc,1,0.2183
Derived,Original,9,5,1,B,Wc,5,0.2183
Ancestral,Modified,5,7,2,A,Wc,9,0.2188
Derived,Modified,7,7,1,A,Wc,9,0.219
Derived,Modified,7,7,1,B,Wc,1,0.2202
Derived,Modified,2,2,2,B,Wc,6,0.2204
Derived,Modified,6,6,2,B,Wc,8,0.2209
Derived,Original,2,5,1,B,Wc,2,0.2211
Ancestral,Modified,5,3,2,A,Wc,5,0.2212
Ancestral,Modified,5,4,1,A,Wc,1,0.2213
Ancestral,Modified,5,1,2,A,Wc,8,0.2217
Derived,Modified,8,8,1,B,Wc,6,0.2229
Derived,Modified,7,7,2,A,Wc,5,0.2233
Derived,Modified,2,2,2,A,Wc,5,0.2241
Ancestral,Modified,5,1,1,B,Wc,3,0.22518
Derived,Modified,9,9,1,B,Wc,7,0.2267
Derived,Modified,6,6,1,B,Wc,5,0.227
Derived,Original,7,5,2,B,Wc,8,0.2271
Derived,Original,8,5,1,A,Wc,8,0.2271
Derived,Original,2,5,2,A,Wc,7,0.2276
Derived,Original,9,5,1,B,Wc,2,0.228
Derived,Original,8,5,2,A,Wc,1,0.2283
Derived,Modified,3,3,2,B,Wc,9,0.2293
Derived,Modified,7,7,1,A,Wc,7,0.2293
Derived,Modified,6,6,1,A,Wc,5,0.2305
Derived,Modified,6,6,2,A,Wc,5,0.2305
Derived,Modified,6,6,1,A,Wc,2,0.2309
Derived,Modified,6,6,2,A,Wc,2,0.2309
Derived,Modified,8,8,2,A,Wc,8,0.231
Derived,Original,3,5,2,A,Wc,1,0.2312
Derived,Original,3,5,2,B,Wc,1,0.2312
Derived,Modified,8,8,2,B,Wc,4,0.2316
Ancestral,Modified,5,9,2,A,Wc,3,0.2318
Derived,Modified,6,6,1,A,Wc,7,0.232
Derived,Modified,6,6,2,A,Wc,7,0.232
Derived,Original,9,5,2,A,Wc,2,0.233
Derived,Modified,2,2,2,A,Wc,2,0.2341
Derived,Original,9,5,2,A,Wc,8,0.2344
Derived,Modified,9,9,1,B,Wc,2,0.2352
Derived,Modified,3,3,2,A,Wc,4,0.2355
Ancestral,Modified,5,2,2,A,Wc,6,0.2358
Derived,Modified,7,7,1,A,Wc,1,0.2358
Derived,Original,8,5,2,B,Wc,9,0.2361
Ancestral,Modified,5,8,2,A,Wc,3,0.238
Ancestral,Modified,5,8,2,B,Wc,3,0.238
Derived,Modified,7,7,1,A,Wc,3,0.2383
Derived,Original,2,5,2,A,Wc,5,0.239
Derived,Original,9,5,2,A,Wc,1,0.2392
Derived,Original,8,5,1,B,Wc,4,0.2393
Derived,Modified,2,2,2,B,Wc,5,0.2401
Derived,Original,3,5,2,A,Wc,9,0.2401
Derived,Original,3,5,2,B,Wc,9,0.2401
Ancestral,Modified,5,7,2,B,Wc,1,0.2405
Ancestral,Modified,5,3,2,A,Wc,3,0.2408
Derived,Modified,2,2,2,B,Wc,1,0.2411
Derived,Modified,8,8,2,A,Wc,6,0.2416
Derived,Original,6,5,1,B,Wc,8,0.2417
Derived,Original,6,5,2,B,Wc,8,0.2417
Ancestral,Modified,5,7,2,B,Wc,7,0.2424
Ancestral,Modified,5,8,1,B,Wc,2,0.2431
Derived,Modified,8,8,1,A,Wc,1,0.2437
Ancestral,Modified,5,7,2,B,Wc,3,0.244
Derived,Modified,9,9,2,B,Wc,6,0.2441
Derived,Modified,7,7,1,B,Wc,9,0.2452
Derived,Original,3,5,2,A,Wc,5,0.2461
Derived,Original,3,5,2,B,Wc,5,0.2461
Ancestral,Modified,5,1,2,A,Wc,1,0.2462
Derived,Modified,8,8,1,B,Wc,1,0.2462
Derived,Original,8,5,1,A,Wc,3,0.2469
Derived,Modified,3,3,2,A,Wc,5,0.2471
Derived,Modified,6,6,2,B,Wc,1,0.2476
Derived,Modified,7,7,2,B,Wc,2,0.2477
Derived,Modified,9,9,1,A,Wc,2,0.2482
Ancestral,Modified,5,6,2,A,Wc,1,0.2486
Ancestral,Modified,5,7,2,A,Wc,1,0.2491
Derived,Original,8,5,2,B,Wc,7,0.2492
Derived,Original,8,5,1,B,Wc,10,0.2499
Derived,Modified,8,8,1,A,Wc,2,0.2502
Ancestral,Modified,5,3,2,A,Wc,1,0.2508
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Derived,Original,2,5,2,A,Wc,9,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,B,Wc,4,0.2518
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Ancestral,Original,5,5,2,A,Wc,8,0.2525
Derived,Modified,9,9,1,B,Wc,1,0.2536
Derived,Modified,6,6,1,B,Wc,1,0.2538
Ancestral,Modified,5,7,2,A,Wc,7,0.2541
Derived,Original,8,5,2,B,Wc,1,0.2548
Ancestral,Modified,5,7,1,A,Wc,6,0.2551
Derived,Original,9,5,1,A,Wc,8,0.2553
Derived,Modified,2,2,1,A,Wc,2,0.2557
Derived,Original,7,5,1,B,Wc,7,0.2558
Derived,Modified,6,6,1,A,Wc,4,0.256
Derived,Modified,6,6,2,A,Wc,4,0.256
Derived,Original,3,5,2,A,Wc,2,0.2561
Derived,Original,3,5,2,B,Wc,2,0.2561
Derived,Modified,8,8,2,B,Wc,3,0.2565
Derived,Modified,7,7,2,A,Wc,1,0.2569
Derived,Modified,8,8,1,A,Wc,10,0.2579
Derived,Original,7,5,1,A,Wc,3,0.2584
Derived,Original,8,5,1,A,Wc,6,0.2589
Derived,Original,8,5,2,B,Wc,5,0.2594
Ancestral,Modified,5,9,2,A,Wc,4,0.26
Derived,Modified,7,7,2,B,Wc,10,0.2604
Derived,Modified,8,8,2,B,Wc,7,0.2606
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Ancestral,Original,5,5,2,B,Wc,5,0.2609
Derived,Original,2,5,2,A,Wc,8,0.261
Derived,Original,3,5,2,A,Wc,6,0.2621
Derived,Original,3,5,2,B,Wc,6,0.2621
Derived,Modified,8,8,2,B,Wc,10,0.2621
Ancestral,Modified,5,3,2,A,Wc,6,0.2628
Derived,Modified,8,8,1,B,Wc,8,0.2636
Derived,Modified,3,3,1,A,Wc,3,0.2639
Ancestral,Modified,5,8,2,A,Wc,5,0.2639
Ancestral,Modified,5,8,2,B,Wc,5,0.2639
Ancestral,Modified,5,1,1,B,Wc,5,0.2641
Ancestral,Modified,5,4,2,A,Wc,3,0.2657
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Ancestral,Original,5,5,2,A,Wc,3,0.2664
Derived,Modified,8,8,2,B,Wc,1,0.2668
Ancestral,Modified,5,1,2,A,Wc,2,0.2669
Derived,Modified,6,6,1,B,Wc,8,0.2673
Derived,Modified,9,9,1,A,Wc,5,0.2673
